# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
72, 512, , 61420
72, 277, , 60785
72, 1293, , 61232
72, 290, , 6553
72, 394, , 60983
73, 267, , 4463
73, 263, , 3455
73, 272, , 60790
73, 273, , 60885
113248
73, 259, , 2339
73, 512, , 61693
73, 264, , 60982
73, 272, , 60782
73, 260, , 60860
73, 259, , 61013
73, 314, , 10797
73, 454, , 61057
73, 282, , 7694
73, 268, , 2379
73, 512, , 61005
73, 268, , 4460
73, 298, , 60934
73, 259, , 60801
73, 408, , 64293
73, 267, , 5515
74, 292, , 60908
74, 259, , 4493
74, 296, , 61037
74, 512, , 61457
74, 474, , 61015
74, 336, , 61032
74, 512, , 64101
74, 512, , 60974
74, 280, , 10776
74, 278, , 60858
74, 267, , 5474
74, 293, , 60983
74, 408, , 61189
74, 274, , 60826
74, 515, , 61037
74, 512, , 61147
74, 437, , 60997
74, 278, , 60853
108736
74, 298, , 6661
74, 313, , 60997
120361
75, 329, , 61039
75, 259, , 28984
75, 275, , 7594
75, 265, , 5502
75, 540, , 61237
75, 290, , 60882
75, 283, , 60893
75, 512, , 61142
75, 1055, , 64302
75, 443, , 61068
75, 512, , 61357
75, 1182, , 
75, 348, , 61065
75, 765, , 61238
75, 749, , 61237
75, 415, , 60993
75, 1653, , 61571
75, 267, , 4442
75, 509, , 61310
75, 316, , 61046
76, 272, , 60869
76, 512, , 64256
76, 512, , 61127
76, 750, , 61217
76, 425, , 60987
76, 458, , 61114
76, 512, , 61547
76, 285, , 5516
76, 759, , 61068
76, 265, , 60904
76, 383, , 60994
76, 388, , 61066
76, 260, , 60832
76, 512, , 61226
76, 1302, , 61258
76, 376, , 61086
76, 349, , 60976
76, 480, , 61147
76, 516, , 61043
76, 340, , 61078
77, 512, , 61497
77, 512, , 61153
77, 584, , 61252
77, 272, , 5495
77, 276, , 60909
77, 512, , 61152
